Book-Title,avg_rating,Book-Author,Year-Of-Publication,Image-URL-S
Harry Potter and the Prisoner of Azkaban (Book 3),5.852803738317757,J. K. Rowling,1999,http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),5.8242894056847545,J. K. Rowling,2000,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg
Harry Potter and the Sorcerer's Stone (Book 1),5.737410071942446,J. K. Rowling,1998,http://images.amazon.com/images/P/0590353403.01.THUMBZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),5.501440922190202,J. K. Rowling,2003,http://images.amazon.com/images/P/043935806X.01.THUMBZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),5.183453237410072,J. K. Rowling,2000,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg
The Hobbit : The Enchanting Prelude to The Lord of the Rings,5.00711743772242,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",4.948369565217392,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),4.895652173913043,J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg
"The Two Towers (The Lord of the Rings, Part 2)",4.880769230769231,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg
To Kill a Mockingbird,4.7,Harper Lee,1988,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg
The Da Vinci Code,4.642538975501114,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg
The Five People You Meet in Heaven,4.551162790697674,Mitch Albom,2003,http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg
The Catcher in the Rye,4.5456570155902005,J.D. Salinger,1991,http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg
The Lovely Bones: A Novel,4.468725868725869,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg
1984,4.454225352112676,George Orwell,1990,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg
Prodigal Summer: A Novel,4.450592885375494,Barbara Kingsolver,2001,http://images.amazon.com/images/P/0060959037.01.THUMBZZZ.jpg
Neverwhere,4.449056603773585,Neil Gaiman,1998,http://images.amazon.com/images/P/0380789019.01.THUMBZZZ.jpg
The Secret Life of Bees,4.447028423772609,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,4.3568904593639575,Michael Moore,2002,http://images.amazon.com/images/P/0060392452.01.THUMBZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",4.354969574036511,MITCH ALBOM,1997,http://images.amazon.com/images/P/0385484518.01.THUMBZZZ.jpg
The Red Tent (Bestselling Backlist),4.334716459197787,Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg
The Hitchhiker's Guide to the Galaxy,4.3283582089552235,Douglas Adams,1982,http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,4.28955223880597,Barbara Ehrenreich,2002,http://images.amazon.com/images/P/0805063897.01.THUMBZZZ.jpg
Into the Wild,4.273809523809524,Jon Krakauer,1997,http://images.amazon.com/images/P/0385486804.01.THUMBZZZ.jpg
Fahrenheit 451,4.264058679706602,Ray Bradbury,1994,http://images.amazon.com/images/P/3257208626.01.THUMBZZZ.jpg
Girl with a Pearl Earring,4.218631178707224,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg
Outlander,4.173144876325089,DIANA GABALDON,1996,http://images.amazon.com/images/P/0440222915.01.THUMBZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),4.105982905982906,Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.THUMBZZZ.jpg
Seabiscuit: An American Legend,4.098181818181819,LAURA HILLENBRAND,2002,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg
Life of Pi,4.088855421686747,Yann Martel,2002,http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg
The Bean Trees,4.087403598971722,Barbara Kingsolver,1989,http://images.amazon.com/images/P/0060915544.01.THUMBZZZ.jpg
